GDP,Consumption,Investment PNFI,T3M,BAA,Ten_yr
8185.303,5275.72,710.6632,6.14,10.2733,7.6033
8263.639,5369.049,702.4986,5.5233,10.18,7.3067
8308.021,5401.98,709.2938,5.3533,10.0933,7.2633
8369.93,5407.372,692.5205,5.5367,9.66,7.1933
8460.233,5481.166,706.4799,5.6567,10.3567,8.3433
8533.635,5543.723,726.1118,6.0433,10.9067,8.8767
8680.162,5555.451,725.1975,5.8633,11.38,9.1233
8725.006,5653.588,730.9935,5.7233,10.7533,8.4167
8839.641,5695.326,747.3517,6.21,10.98,8.91
8891.435,5745.933,752.0338,7.01,11.0733,9.1
9009.913,5811.264,762.5056,7.7267,10.5133,8.9567
9101.508,5838.225,774.7205,8.54,10.6433,9.2067
9170.977,5865.477,785.1931,8.41,10.3667,8.7733
9238.923,5922.261,805.1549,7.8433,9.8867,8.1067
9257.128,5948,797.025,7.6533,9.8133,7.9067
9358.289,5998.058,807.2523,7.76,10.0967,8.4233
9392.251,6016.329,796.7398,7.7467,10.31,8.6767
9398.499,6040.163,802.3843,7.4767,10.4167,8.7033
9312.937,5994.212,789.7617,6.99,10.5967,8.3967
9269.367,5971.672,773.9377,6.0233,10.2033,8.0167
9341.642,6021.163,770.0402,5.56,9.92,8.13
9388.845,6051.184,763.4045,5.3767,9.6833,7.94
9421.565,6048.156,762.966,4.54,9.4,7.3467
9534.346,6161.398,759.9817,3.8933,9.2033,7.3033
9637.732,6203.224,784.5594,3.68,9.13,7.3767
9732.979,6269.718,796.5606,3.0833,8.7033,6.6167
9834.51,6344.446,817.4309,3.07,8.87,6.7433
9850.973,6368.772,825.5505,2.96,8.4033,6.28
9908.347,6426.703,841.7748,2.9667,8.14,5.99
9955.641,6498.229,848.5581,3.0033,7.6233,5.6167
10091.049,6555.274,879.1654,3.06,7.5533,5.6067
10188.954,6630.253,888.4703,3.2433,7.8467,6.0667
10327.019,6681.841,902.3032,3.9867,8.5967,7.0833
10387.382,6732.791,917.7274,4.4767,8.84,7.3333
10506.372,6805.581,953.5308,5.28,9.2067,7.8367
10543.644,6822.519,988.7685,5.7367,8.8767,7.4833
10575.1,6882.33,998.2357,5.5967,8.2333,6.62
10665.06,6944.7,1004.5988,5.3667,8.0533,6.3233
10737.478,6993.144,1024.0769,5.26,7.64,5.8933
10817.896,7057.641,1050.0324,4.93,7.71,5.91
10998.322,7133.566,1077.9962,5.02,8.2967,6.72
11096.976,7176.754,1111.9144,5.0967,8.2933,6.78
11212.205,7233.918,1140.1364,4.9767,7.9167,6.3433
11284.587,7310.17,1166.6094,5.06,8.07,6.5633
11472.137,7343.08,1190.8229,5.0467,8.1867,6.6967
11615.636,7468.188,1243.2229,5.0467,7.7567,6.2433
11715.393,7557.449,1251.1631,5.09,7.4367,5.9067
11832.486,7633.895,1291.7702,5.0533,7.2533,5.5867
11942.032,7768.323,1335.4282,4.9767,7.2533,5.5967
12091.614,7869.624,1356.5421,4.8233,7.1267,5.2033
12287,7983.316,1396.103,4.2533,7.25,4.67
12403.293,8060.776,1427.0351,4.4067,7.4033,4.9833
12498.694,8178.302,1464.9125,4.4533,7.74,5.54
12662.385,8270.609,1506.8562,4.65,8.1,5.8833
12877.593,8391.791,1513.5444,5.0433,8.24,6.14
12924.179,8520.71,1569.0252,5.52,8.33,6.48
13160.842,8603.007,1618.0261,5.7133,8.5933,6.1767
13178.419,8687.485,1635.6226,6.0167,8.32,5.8933
13260.506,8762.205,1641.7717,6.0167,8.2133,5.5667
13222.69,8797.28,1627.0665,4.8167,7.88,5.05
13299.984,8818.079,1593.3922,3.66,8.0367,5.27
13244.784,8848.3,1574.5613,3.17,7.95,4.98
13280.859,8980.61,1529.3206,1.9067,7.9233,4.77
13397.002,9008.096,1492.6477,1.72,7.9567,5.0767
13478.152,9054.348,1475.8196,1.7133,8.0233,5.1
13538.072,9119.949,1471.007,1.6433,7.6267,4.26
13559.032,9172.361,1451.2161,1.3333,7.6,4.0067
13634.253,9215.501,1458.411,1.1567,7.12,3.92
13751.543,9318.994,1498.7467,1.04,6.4733,3.62
13985.073,9455.687,1530.5265,0.93,6.8067,4.2333
14145.645,9519.802,1549.7733,0.9167,6.6633,4.2867
14221.147,9604.507,1534.4528,0.9167,6.2733,4.02
14329.523,9664.264,1572.8243,1.0767,6.6633,4.6
14464.984,9771.136,1617.7645,1.4867,6.45,4.3033
14609.876,9877.416,1650.9938,2.0067,6.1867,4.1733
14771.602,9935.048,1674.968,2.5367,5.9667,4.2967
14839.782,10047.766,1702.028,2.8633,5.9733,4.16
14972.054,10145.297,1737.5116,3.36,5.98,4.2133
15066.597,10175.424,1750.946,3.8267,6.3367,4.49
15267.026,10288.892,1809.6672,4.3933,6.3067,4.57
15302.705,10341.016,1841.3324,4.7033,6.7367,5.07
15326.368,10403.798,1872.8826,4.9067,6.5933,4.8967
15456.928,10504.481,1892.7414,4.9033,6.28,4.63
15493.328,10563.261,1926.813,4.9833,6.2967,4.68
15582.085,10582.839,1969.5859,4.7367,6.4933,4.8467
15666.738,10642.483,2000.485,4.3033,6.63,4.73
15761.967,10672.794,2031.3306,3.39,6.51,4.26
15671.383,10644.429,2039.3954,2.0433,6.75,3.6633
15752.308,10661.689,2043.5343,1.6267,6.99,3.8867
15667.032,10581.856,2005.3826,1.4933,7.2067,3.8633
15328.027,10483.376,1888.596,0.2967,8.84,3.2533
15155.94,10459.698,1746.3302,0.2133,8.2133,2.7367
15134.117,10417.334,1693.1949,0.1733,7.9833,3.3133
15189.222,10489.202,1683.3237,0.1567,6.66,3.5167
15356.058,10473.645,1694.5354,0.0567,6.3267,3.46
15415.145,10525.432,1706.3764,0.1067,6.2867,3.7167
15557.277,10609.148,1762.3423,0.1467,6.1767,3.49
15671.967,10683.342,1810.0591,0.1567,5.7767,2.7867
15750.625,10753.999,1845.2314,0.1367,5.9133,2.8633
15712.754,10799.741,1842.7281,0.1267,6.09,3.46
15825.096,10823.654,1890.3645,0.0467,5.85,3.21
15820.7,10866.036,1978.8879,0.0233,5.4633,2.4267
16004.107,10885.893,2029.4122,0.0133,5.2533,2.0467
16129.418,10973.303,2081.254,0.0667,5.2,2.0367
16198.807,10989.585,2128.0224,0.0867,5.0933,1.8233
16220.667,11007.517,2120.8811,0.1033,4.8733,1.6433
16239.138,11056.852,2143.9482,0.0867,4.5733,1.7067
16382.964,11114.186,2171.6501,0.0867,4.81,1.95
16403.18,11122.185,2177.4915,0.05,4.8367,1.9967
16531.685,11167.422,2214.6769,0.0333,5.4033,2.71
16663.649,11263.648,2260.0304,0.0633,5.3567,2.7467
16616.54,11308.019,2291.7078,0.0467,5.1167,2.7633
16841.475,11431.831,2353.2763,0.0333,4.82,2.6233
17047.098,11554.841,2400.7971,0.0267,4.74,2.4967
17143.038,11694.969,2415.48,0.0233,4.74,2.28
17277.58,11792.119,2406.071,0.0267,4.5,1.9667
17405.669,11885.98,2413.2205,0.02,4.8333,2.1667
17463.222,11976.589,2420.4354,0.04,5.2433,2.22
17468.902,12030.223,2393.2408,0.1233,5.42,2.19
17556.839,12124.214,2389.7943,0.2867,5.3067,1.92
17639.417,12211.285,2413.601,0.2567,4.6667,1.7533
17735.074,12289.063,2446.7604,0.2967,4.2567,1.5633
17824.231,12365.312,2451.2115,0.43,4.64,2.13
17925.256,12438.898,2490.5156,0.59,4.66,2.4433
18021.048,12512.899,2517.4026,0.89,4.4967,2.2633
18163.558,12586.281,2532.6489,1.0367,4.3333,2.2433
18322.464,12729.713,2584.1938,1.2067,4.27,2.37
18438.254,12782.902,2639.5162,1.56,4.47,2.76
18598.135,12909.192,2689.949,1.84,4.7767,2.92
18732.72,13019.802,2703.9369,2.04,4.8133,2.9267
18783.548,13066.302,2735.8068,2.3167,5.14,3.0333
18927.281,13103.317,2765.5477,2.3867,4.97,2.6533
19021.86,13250.04,2758.5558,2.3,4.5967,2.3333
19121.112,13353.121,2742.6664,1.98,4.02,1.7967
